"","Treatment","avg_PO4","sd_PO4","avg_NH4","sd_NH4","avg_NO3","sd_NO3"
"1","control",5,1.70008823300439,17.9666666666667,5.6888780381841,49.0333333333333,4.26184623529913
"2","SH only",13.2,4.53100430368368,12.7166666666667,7.86484795360555,42.0666666666667,3.49475797922164
"3","low N:P, NH4",6.024,5.00844566707077,22.4333333333333,11.1181533238813,36.5,1.552417469626
"4","SH + low N:P, NH4",9.49,4.69492278956747,38.9133333333333,31.3139351301195,36.8,8.40416563377948
"5","low N:P, urea",7.49,5.89780467631813,18.9366666666667,12.3565785447806,47.3666666666667,10.9463844868218
"6","SH + low N:P, urea",19.7633333333333,18.628446884626,37.5666666666667,20.3264195896211,39.4,2.30651251893416
"7","high N:P, NH4",4.94666666666667,2.58149827296734,39.6333333333333,11.6500357653242,97.8,92.9156606821477
"8","SH + high N:P, NH4",5.15,0.417612260356422,34.9,11.8823398369176,31,3.29696830436691
"9","high N:P, urea",5.38333333333333,0.62131580805041,43.3333333333333,31.2117499242406,44.8333333333333,16.9777305118597
"10","SH + high N:P, urea",35.39,26.553329358105,93.2333333333333,54.2684377270374,80.8666666666667,25.7585584482776
