"","Lake","Treatment","avgChla_ugL","sdChla_ugL"
"1","Maumee","control",10.1025076613333,1.20646573733547
"2","Maumee","SH only",15.47458932,1.32639337
"3","Maumee","low N:P, NH4",41.9072878566667,10.780878319199
"4","Maumee","SH + low N:P, NH4",120.9321216,27.7763571363695
"5","Maumee","low N:P, urea",87.7433442333333,36.7506713630944
"6","Maumee","SH + low N:P, urea",82.7193839333333,58.242102627428
"7","Maumee","high N:P, NH4",61.73956451,9.47008577558383
"8","Maumee","SH + high N:P, NH4",76.07751997,41.8839817834185
"9","Maumee","high N:P, urea",86.30772115,45.3189902253849
"10","Maumee","SH + high N:P, urea",157.770532043333,87.1052770931918
"11","Sandusky","control",52.96056594,21.6778113704982
"12","Sandusky","SH only",34.21240374,3.54435192597223
"13","Sandusky","low N:P, NH4",84.05771508,23.0902705443565
"14","Sandusky","SH + low N:P, NH4",97.8419706066667,59.8458452322241
"15","Sandusky","low N:P, urea",90.82969564,19.6649176581756
"16","Sandusky","SH + low N:P, urea",109.812570246667,41.2483192747884
"17","Sandusky","high N:P, NH4",198.865688466667,31.0562940448772
"18","Sandusky","SH + high N:P, NH4",219.821533766667,46.2952661058617
"19","Sandusky","high N:P, urea",186.518896933333,5.70186093698583
"20","Sandusky","SH + high N:P, urea",167.469056033333,54.9439143772281
"21","Grand","control",201.4130814,13.7682809679216
"22","Grand","SH only",242.734391666667,45.3604335443296
"23","Grand","low N:P, NH4",272.213378933333,84.8333979150216
"24","Grand","SH + low N:P, NH4",252.242179166667,52.3297431573106
"25","Grand","low N:P, urea",250.783752233333,32.7697696163543
"26","Grand","SH + low N:P, urea",220.044489466667,30.2092478201186
"27","Grand","high N:P, NH4",329.812906066667,77.093064863214
"28","Grand","SH + high N:P, NH4",373.769310533333,63.8986685192679
"29","Grand","high N:P, urea",415.255411,117.209164721522
"30","Grand","SH + high N:P, urea",399.2336543,12.6273591674902
