"","Lake","Treatment","avgPC_ugL","sdPC_ugL"
"1","Maumee","control",662.946316966667,310.599701733749
"2","Maumee","SH only",1691.37478133333,411.237886654509
"3","Maumee","low N:P, NH4",466.729588,61.5179462126178
"4","Maumee","SH + low N:P, NH4",1492.38951323333,726.022308751392
"5","Maumee","low N:P, urea",569.515106133333,152.824803373937
"6","Maumee","SH + low N:P, urea",1856.83695366667,173.744386178802
"7","Maumee","high N:P, NH4",296.072908866667,177.096742691917
"8","Maumee","SH + high N:P, NH4",1394.16928833333,58.7707401371871
"9","Maumee","high N:P, urea",483.6414482,246.872072317793
"10","Maumee","SH + high N:P, urea",1338.46292133333,234.288181522619
"11","Sandusky","control",508.837952566667,57.5902049452012
"12","Sandusky","SH only",3097.34531833333,658.257281705274
"13","Sandusky","low N:P, NH4",532.741073633333,115.776451783284
"14","Sandusky","SH + low N:P, NH4",2648.61822733333,567.505266693264
"15","Sandusky","low N:P, urea",399.788264666667,131.083090771948
"16","Sandusky","SH + low N:P, urea",2149.45617966667,496.666605086837
"17","Sandusky","high N:P, NH4",790.201248466667,120.527310086247
"18","Sandusky","SH + high N:P, NH4",3458.96129866667,371.299205473973
"19","Sandusky","high N:P, urea",627.8082397,164.234892288968
"20","Sandusky","SH + high N:P, urea",2804.54431966667,1516.45085110143
"21","Grand","control",571.7383271,180.394224607586
"22","Grand","SH only",1686.08239666667,304.356392189402
"23","Grand","low N:P, NH4",661.3313358,155.860210700164
"24","Grand","SH + low N:P, NH4",1765.146567,425.966511588688
"25","Grand","low N:P, urea",847.627465666667,105.59125971103
"26","Grand","SH + low N:P, urea",2322.74157266667,151.772284662596
"27","Grand","high N:P, NH4",1786.46991266667,158.430581367646
"28","Grand","SH + high N:P, NH4",3746.938327,689.866309244683
"29","Grand","high N:P, urea",2337.800749,385.624083958741
"30","Grand","SH + high N:P, urea",2320.98676633333,112.258250152127
