"","Lake","Treatment","avgMic_ugL","sdMic_ugL"
"1","Maumee","control",1.86,0.1552417469626
"2","Maumee","SH only",1.62,0.317490157327751
"3","Maumee","low N:P, NH4",1.96333333333333,1.98973197525027
"4","Maumee","SH + low N:P, NH4",0.826666666666667,0.468009971403744
"5","Maumee","low N:P, urea",4.06333333333333,3.04344103496903
"6","Maumee","SH + low N:P, urea",2.39666666666667,2.33285947569358
"7","Maumee","high N:P, NH4",3.29666666666667,1.24295347191008
"8","Maumee","SH + high N:P, NH4",1.49333333333333,0.761073802816345
"9","Maumee","high N:P, urea",7.8,6.0520079312572
"10","Maumee","SH + high N:P, urea",4.32666666666667,1.95308303288246
"11","Sandusky","control",0.136666666666667,0.0152752523165195
"12","Sandusky","SH only",0.126666666666667,0.0115470053837925
"13","Sandusky","low N:P, NH4",0.483333333333333,0.52880368127816
"14","Sandusky","SH + low N:P, NH4",0.543333333333333,0.450814078455114
"15","Sandusky","low N:P, urea",0.27,0.06
"16","Sandusky","SH + low N:P, urea",0.343333333333333,0.0971253485622231
"17","Sandusky","high N:P, NH4",0.34,0.528299157674892
"18","Sandusky","SH + high N:P, NH4",1,0.278747197295327
"19","Sandusky","high N:P, urea",0.313333333333333,0.228108161479008
"20","Sandusky","SH + high N:P, urea",1.20333333333333,0.708684226812854
"21","Grand","control",14.3666666666667,0.360185137579736
"22","Grand","SH only",11.95,0.427551166528638
"23","Grand","low N:P, NH4",22.3133333333333,4.08431552813116
"24","Grand","SH + low N:P, NH4",18.8766666666667,1.92073770550102
"25","Grand","low N:P, urea",36.1533333333333,26.4520440294003
"26","Grand","SH + low N:P, urea",22.4266899266667,1.61596905931768
"27","Grand","high N:P, NH4",23.0366666666667,3.10548439592495
"28","Grand","SH + high N:P, NH4",32.6833333333333,1.86992869739285
"29","Grand","high N:P, urea",25.8366666666667,4.46045214449537
"30","Grand","SH + high N:P, urea",30.0366666666667,6.8709339491319
