"","Lake","Treatment","avgDOC_mgL","sdDOC_mgL"
"1","Maumee","control",2.54333333333333,0.0539289656245448
"2","Maumee","SH only",3.50166666666667,0.159515934418268
"3","Maumee","low N:P, NH4",2.73,0.320064056088777
"4","Maumee","SH + low N:P, NH4",3.53966666666667,0.194026630474616
"5","Maumee","low N:P, urea",2.92333333333333,0.0765789353107846
"6","Maumee","SH + low N:P, urea",3.80966666666667,0.0378725934328948
"7","Maumee","high N:P, NH4",2.46,0.0788225855957544
"8","Maumee","SH + high N:P, NH4",3.49433333333333,0.209688658094169
"9","Maumee","high N:P, urea",3.72033333333333,0.0930716569817758
"10","Maumee","SH + high N:P, urea",4.64933333333333,0.168048604080287
"11","Sandusky","control",5.33466666666667,0.0948173683105228
"12","Sandusky","SH only",6.19866666666667,0.193732633630303
"13","Sandusky","low N:P, NH4",5.447,0.286214954186534
"14","Sandusky","SH + low N:P, NH4",6.30933333333333,0.23430820159212
"15","Sandusky","low N:P, urea",5.852,0.227237760946547
"16","Sandusky","SH + low N:P, urea",6.42866666666667,0.531844275454135
"17","Sandusky","high N:P, NH4",5.86666666666667,0.572313142722874
"18","Sandusky","SH + high N:P, NH4",7.42633333333333,0.286576923937245
"19","Sandusky","high N:P, urea",6.21966666666667,0.27655439489065
"20","Sandusky","SH + high N:P, urea",6.99333333333333,0.540274313042304
"21","Grand","control",7.38833333333333,0.118963579860953
"22","Grand","SH only",8.15166666666667,0.121129407384554
"23","Grand","low N:P, NH4",7.18233333333333,0.0776230206403572
"24","Grand","SH + low N:P, NH4",8.27066666666667,0.139119852405519
"25","Grand","low N:P, urea",7.207,0.0701925922017415
"26","Grand","SH + low N:P, urea",8.08633333333333,0.228303161023524
"27","Grand","high N:P, NH4",7.01533333333333,0.0785451038151539
"28","Grand","SH + high N:P, NH4",8.04866666666667,0.0896734817732267
"29","Grand","high N:P, urea",7.14633333333333,0.143987267955654
"30","Grand","SH + high N:P, urea",8.11666666666667,0.198560654041362
