"","Lake","Treatment","avgTN_mgL","sdTN_mgL"
"1","Maumee","control",0.405663062333333,0.0610844848528922
"2","Maumee","SH only",0.637118194,0.0557894738352342
"3","Maumee","low N:P, NH4",1.40737051766667,0.325401156152727
"4","Maumee","SH + low N:P, NH4",1.67771770066667,0.0652045489022477
"5","Maumee","low N:P, urea",1.38365585266667,0.282553045424922
"6","Maumee","SH + low N:P, urea",1.78680516033333,0.0641612088542105
"7","Maumee","high N:P, NH4",3.28557199766667,0.0865504059837413
"8","Maumee","SH + high N:P, NH4",3.68397837233333,0.191428913911131
"9","Maumee","high N:P, urea",3.361458926,0.349210019424064
"10","Maumee","SH + high N:P, urea",3.71243597033333,0.137217568874689
"11","Sandusky","control",1.11046291,0.217962414903682
"12","Sandusky","SH only",1.16073800033333,0.0914783794399005
"13","Sandusky","low N:P, NH4",1.72514703066667,0.15673222974124
"14","Sandusky","SH + low N:P, NH4",1.93383608433333,0.051302664798796
"15","Sandusky","low N:P, urea",1.715661165,0.0999398007185741
"16","Sandusky","SH + low N:P, urea",2.18521153466667,0.718002365347019
"17","Sandusky","high N:P, NH4",2.853965092,0.110521535063098
"18","Sandusky","SH + high N:P, NH4",2.97253841766667,0.121570912474056
"19","Sandusky","high N:P, urea",2.93459495333333,0.176765748038214
"20","Sandusky","SH + high N:P, urea",3.451574654,0.513486849409616
"21","Grand","control",2.58361790933333,0.180730021678392
"22","Grand","SH only",3.024710681,0.153468883357057
"23","Grand","low N:P, NH4",3.71243597033333,0.18660895050179
"24","Grand","SH + low N:P, NH4",3.812037564,0.128059192
"25","Grand","low N:P, urea",3.347230127,0.593075280934383
"26","Grand","SH + low N:P, urea",3.84523809533333,0.132207928644948
"27","Grand","high N:P, NH4",5.17800227633333,0.228990850104656
"28","Grand","SH + high N:P, NH4",5.27760387033333,0.0620218975024919
"29","Grand","high N:P, urea",5.13057294633333,0.260947537977552
"30","Grand","SH + high N:P, urea",5.16377347766667,0.505272649245644
