Lake,Sample_date,Treatment,Replicate,Microcystin_ugL,tDOM_added,Nut_added,pH,comments,PO4_P_ugL,NH4_N_mgL,NO3_N_mgL,TP_mgL,TN_mgL,TNTP_ratio,Chla_ugL,PC_ugL,DOC_mgL,Cyanos_cellmL,Observation,AddedNut_ratio,Added_Nform
Maumee,9/1/2021,initial,1,0.73,none,none,6.25,,0.199,0.0321,0.141,0.034347826,0.499573136,14.54453438,4.86,936.2277154,2.503,,pre,none,none
Maumee,9/1/2021,initial,2,0.19,none,none,5.78,,6.22,0.0428,0.134,0.029673913,0.513801935,17.31493703,9.28,664.2397004,,,pre,none,none
Maumee,9/1/2021,initial,3,0.28,none,none,5.76,"total P did not enough sample to analyze, removed",0.047400523,0.0483,0.134,NA,0.569294252,NA,7.07,800.2337079,,,pre,none,none
Maumee,9/8/2021,control,1,2.02,none,none,8.05,,4.14,0.018,0.0262,0.019891304,0.361553785,18.17647475,10.16901584,1018.969288,2.605,,post,none,none
Maumee,9/8/2021,control,2,1.71,none,none,NA,,0.119,0.000257271,0.0247,0.01326087,0.475384178,35.84864176,11.27434364,447.4127341,2.52,,post,none,none
Maumee,9/8/2021,control,3,1.85,none,none,NA,,0.407,0.000896876,0.0402,0.021086957,0.380051224,18.02304733,8.864163504,522.4569288,2.505,,post,none,none
Maumee,9/8/2021,SH only,1,1.98,tDOM added,none,NA,,4.86,0.0163,0.0414,0.0275,0.695930563,25.30656593,16.80098269,1268.955805,3.383,,post,none,none
Maumee,9/8/2021,SH only,2,1.5,tDOM added,none,8.71,,3.86,0.015,0.0427,0.026413043,0.630478088,23.86995274,14.14819595,1714.732584,3.683,,post,none,none
Maumee,9/8/2021,SH only,3,1.38,tDOM added,none,NA,,3.92,0.0265,0.0375,0.025108696,0.584945931,23.29654758,15.47458932,2090.435955,3.439,,post,none,none
Maumee,9/8/2021,"low N:P, NH4",1,1.3,none,"low N:P, NH4",9.24,,4.91,0.0593,0.0414,0.120217391,1.279311326,10.64164939,50.40294806,398.3131086,2.785,,post,low,NH4
Maumee,9/8/2021,"low N:P, NH4",2,4.2,none,"low N:P, NH4",9.76,,6.35,0.0531,0.0379,0.114782609,1.165480933,10.15381113,45.5395057,517.4861423,3.019,,post,low,NH4
Maumee,9/8/2021,"low N:P, NH4",3,0.39,none,"low N:P, NH4",NA,,72.8,0.794,0.159,0.152826087,1.777319294,11.62968528,29.77940981,484.3895131,2.386,,post,low,NH4
Maumee,9/8/2021,"low N:P, urea",1,0.55,none,"low N:P, urea",NA,,65.1,0.0288,0.0584,0.144130435,1.706175299,11.83771699,45.5395057,648.7820225,2.835,,post,low,urea
Maumee,9/8/2021,"low N:P, urea",2,5.89,none,"low N:P, urea",NA,,97.5,0.0393,0.107,0.124565217,1.265082527,10.15598541,105.0061418,666.4209738,2.971,,post,low,urea
Maumee,9/8/2021,"low N:P, urea",3,5.75,none,"low N:P, urea",NA,,97.6,0.022,0.102,0.118043478,1.179709732,9.993857789,112.6843852,393.3423221,2.964,,post,low,urea
Maumee,9/8/2021,"high N:P, NH4",1,4.63,none,"high N:P, NH4",9.2,,3.93,1.73,0.137,0.128913043,3.185970404,24.71410441,72.0673731,294.5977528,2.551,,post,high,NH4
Maumee,9/8/2021,"high N:P, NH4",2,3.09,none,"high N:P, NH4",NA,,20.5,2.38,0.173,0.144130435,3.342487194,23.19071051,59.68770165,119.7183521,2.413,,post,high,NH4
Maumee,9/8/2021,"high N:P, NH4",3,2.17,none,"high N:P, NH4",8.88,,7.78,2.21,0.171,0.132173913,3.328258395,25.18090234,53.46361878,473.9026217,2.416,,post,high,NH4
Maumee,9/8/2021,"high N:P, urea",1,0.96,none,"high N:P, urea",9.35,,56.8,0.138,0.107,0.166956522,3.698207171,22.15072,41.11819447,694.0014981,3.76,,post,high,urea
Maumee,9/8/2021,"high N:P, urea",2,9.98,none,"high N:P, urea",NA,,4.98,0.0371,0.0454,0.152826087,3.385173591,22.15049575,131.7550748,211.8561798,3.614,,post,high,urea
Maumee,9/8/2021,"high N:P, urea",3,12.46,none,"high N:P, urea",NA,,64.9,0.0518,0.112,0.107826087,3.000996016,27.83181788,86.04989418,545.0666667,3.787,,post,high,urea
Maumee,9/8/2021,"SH + low N:P, NH4",1,0.29,tDOM added,"low N:P, NH4",9.4,,70,0.527,0.281,0.15173913,1.620802504,10.6815065,152.5352375,2305.564045,3.376,,post,low,NH4
Maumee,9/8/2021,"SH + low N:P, NH4",2,1.04,tDOM added,"low N:P, NH4",9.6,,15.9,0.179,0.127,0.149565217,1.748861696,11.69297067,109.8695841,909.2554307,3.489,,post,low,NH4
Maumee,9/8/2021,"SH + low N:P, NH4",3,1.15,tDOM added,"low N:P, NH4",9.49,,3.83,0.0232,0.0439,0.162608696,1.663488902,10.23001194,100.3915432,1262.349064,3.754,,post,low,NH4
Maumee,9/8/2021,"SH + low N:P, urea",1,5.08,tDOM added,"low N:P, urea",NA,,76.1,0.033,0.0971,0.161521739,1.84846329,11.44405268,55.70852154,1918.828464,3.842,,post,low,urea
Maumee,9/8/2021,"SH + low N:P, urea",2,0.85,tDOM added,"low N:P, urea",NA,,3.83,0.0185,0.0443,0.164782609,1.720404098,10.44044701,42.88671896,1660.599251,3.819,,post,low,urea
Maumee,9/8/2021,"SH + low N:P, urea",3,1.26,tDOM added,"low N:P, urea",NA,,3.65,0.0131,0.0438,0.163695652,1.791548093,10.94438411,149.5629113,1991.083146,3.768,,post,low,urea
Maumee,9/8/2021,"SH + high N:P, NH4",1,0.71,tDOM added,"high N:P, NH4",NA,,107,2.97,0.243,0.175652174,3.897410359,22.18822728,28.73852302,1393.582022,3.351,,post,high,NH4
Maumee,9/8/2021,"SH + high N:P, NH4",2,2.23,tDOM added,"high N:P, NH4",NA,,3.05,1.29,0.152,0.153913043,3.527461582,22.91853577,108.3221252,1453.231461,3.735,,post,high,NH4
Maumee,9/8/2021,"SH + high N:P, NH4",3,1.54,tDOM added,"high N:P, NH4",NA,,4.64,2.04,0.17,0.161521739,3.627063176,22.45557284,91.17191169,1335.694382,3.397,,post,high,NH4
Maumee,9/8/2021,"SH + high N:P, urea",1,5.28,tDOM added,"high N:P, urea",NA,,95.5,0.204,0.149,0.157173913,3.612834377,22.98622149,75.38335653,1455.958052,4.533,,post,high,urea
Maumee,9/8/2021,"SH + high N:P, urea",2,5.62,tDOM added,"high N:P, urea",NA,,1.36,0.0388,0.0401,0.148478261,3.86895276,26.05736849,148.9981886,1490.753558,4.573,,post,high,urea
Maumee,9/8/2021,"SH + high N:P, urea",3,2.08,tDOM added,"high N:P, urea",NA,,4.67,0.101,0.0418,0.15826087,3.655520774,23.09807076,248.930051,1068.677154,4.842,,post,high,urea
Grand,9/3/2021,initial,1,1.71,none,none,NA,,69.4,0.0226,0.0384,0.413695652,2.872936824,6.944566157,145.903271,2825.713858,6.891,,pre,none,none
Grand,9/3/2021,initial,2,14.77,none,none,NA,,70.1,0.0375,0.0415,0.20702337,3.015224815,14.56465913,151.6117183,1137.659925,,,pre,none,none
Grand,9/3/2021,initial,3,11.33,none,none,NA,"total P did not enough sample to analyze, removed",69.6,0.0261,0.0316,NA,2.78756403,NA,148.7574947,1981.686892,,,pre,none,none
Grand,9/10/2021,control,1,14.38,none,none,NA,,16,0.0363,0.0432,0.332173913,2.374928856,7.149654934,195.3415694,774.5617978,7.308,,post,none,none
Grand,9/10/2021,control,2,14.72,none,none,NA,,7.79,0.0288,0.0426,0.339782609,2.687962436,7.910829939,191.7241324,429.2284644,7.332,,post,none,none
Grand,9/10/2021,control,3,14,none,none,NA,,8.42,0.0366,0.0462,0.33326087,2.687962436,8.065640698,217.1735424,511.4247191,7.525,,post,none,none
Grand,9/10/2021,SH only,1,12.29,tDOM added,none,NA,,52.2,0.0444,0.0464,0.386521739,3.200199203,8.279480505,230.3101213,1956.958801,8.228,,post,none,none
Grand,9/10/2021,SH only,2,12.09,tDOM added,none,NA,,100,0.0201,0.0377,0.446304348,2.915623221,6.532813839,293.0123533,1744.557303,8.215,,post,none,none
Grand,9/10/2021,SH only,3,11.47,tDOM added,none,NA,,114,0.0279,0.0422,0.477826087,2.958309619,6.191184825,204.8807004,1356.731086,8.012,,post,none,none
Grand,9/10/2021,"low N:P, NH4",1,18.79,none,"low N:P, NH4",NA,,47.3,0.0382,0.0366,0.487608696,3.513232783,7.205024873,353.7048987,510.8794007,7.265,,post,low,NH4
Grand,9/10/2021,"low N:P, NH4",2,26.79,none,"low N:P, NH4",NA,,43.4,0.0288,0.0354,0.519130435,3.883181559,7.480165479,278.5426077,651.0262172,7.111,,post,low,NH4
Grand,9/10/2021,"low N:P, NH4",3,21.36,none,"low N:P, NH4",NA,,42.7,0.00367,0.0424,0.503913043,3.740893569,7.423688712,184.3926304,822.0883895,7.171,,post,low,NH4
Grand,9/10/2021,"low N:P, urea",1,19.43,none,"low N:P, urea",NA,,48.6,0.0288,0.061,0.494130435,3.86895276,7.829820804,278.5426074,792.2636704,7.25,,post,low,urea
Grand,9/10/2021,"low N:P, urea",2,66.65,none,"low N:P, urea",NA,,26.4,0.0328,0.04,0.420217391,2.702191235,6.430460264,214.6345633,781.2314607,7.245,,post,low,urea
Grand,9/10/2021,"low N:P, urea",3,22.38,none,"low N:P, urea",NA,,44.4,0.00376,0.0418,0.477826087,3.470546386,7.263199897,259.174086,969.3872659,7.126,,post,low,urea
Grand,9/10/2021,"high N:P, NH4",1,26.5,none,"high N:P, NH4",NA,,5.85,0.0644,0.0402,0.510434783,5.43412066,10.64606261,249.8040847,1953.812734,7.106,,post,high,NH4
Grand,9/10/2021,"high N:P, NH4",2,22.11,none,"high N:P, NH4",NA,,6.31,0.0374,0.0392,0.511521739,5.106858281,9.98365835,336.0196537,1638.786517,6.968,,post,high,NH4
Grand,9/10/2021,"high N:P, NH4",3,20.5,none,"high N:P, NH4",NA,,6.51,0.292,0.0406,0.510434783,4.993027888,9.781911528,403.6149798,1766.810487,6.972,,post,high,NH4
Grand,9/10/2021,"high N:P, urea",1,29.71,none,"high N:P, urea",NA,,4.45,0.0215,0.0472,0.521304348,4.836511098,9.277711027,530.557348,2687.098127,6.996,,post,high,urea
Grand,9/10/2021,"high N:P, urea",2,26.84,none,"high N:P, urea",NA,,5.52,0.0137,0.0589,0.473478261,5.334519067,11.26666102,296.2278526,1923.988015,7.16,,post,high,urea
Grand,9/10/2021,"high N:P, urea",3,20.96,none,"high N:P, urea",NA,,6.18,0.03,0.033,0.527826087,5.220688674,9.890925823,418.9810324,2402.316105,7.283,,post,high,urea
Grand,9/10/2021,"SH + low N:P, NH4",1,17.34,tDOM added,"low N:P, NH4",NA,,71.4,0.00609,0.0383,0.560434783,3.940096756,7.030428652,294.2181654,2250.465918,8.413,,post,low,NH4
Grand,9/10/2021,"SH + low N:P, NH4",2,21.03,tDOM added,"low N:P, NH4",NA,,53,0.00809,0.0362,0.539782609,3.812037564,7.062171883,268.8961102,1591.742322,8.135,,post,low,NH4
Grand,9/10/2021,"SH + low N:P, NH4",3,18.26,tDOM added,"low N:P, NH4",NA,,57.7,0.0363,0.0386,0.527826087,3.683978372,6.979530688,193.6122619,1453.231461,8.264,,post,low,NH4
