"","Lake","Treatment","avgPC_ugL","sdPC_ugL"
"1","Maumee","control",185.14,37.7363763496179
"2","Maumee","nutrients only",150.476666666667,51.0388639502618
"3","Maumee","manure",100.82,19.5155553341431
"4","Maumee","crop",103.023333333333,44.760145591065
"5","Maumee","wetland",79.8133333333333,42.9272341682216
"6","Maumee","manure + nutrients",119.026666666667,66.9569005654633
"7","Maumee","crop + nutrients",150.843333333333,38.5890610579389
"8","Maumee","wetland + nutrients",183.3,12.9869318932533
"9","Sandusky","control",33.5633333333333,1.51265770527682
"10","Sandusky","nutrients only",607.313333333333,70.4600605544257
"11","Sandusky","manure",78.4733333333333,72.8901792653395
"12","Sandusky","crop",91.5366666666667,27.2692690282181
"13","Sandusky","wetland",134.01,92.3691003528778
"14","Sandusky","manure + nutrients",123.246666666667,47.2915006458173
"15","Sandusky","crop + nutrients",629.576666666667,350.305180711524
"16","Sandusky","wetland + nutrients",421.716666666667,130.230739202898
"17","Grand","control",231.753333333333,24.5769370209824
"18","Grand","nutrients only",2143.34333333333,175.816871014511
"19","Grand","manure",340.54,61.7549868431692
"20","Grand","crop",237.643333333333,77.0276965339957
"21","Grand","wetland",341.723333333333,99.0291862701766
"22","Grand","manure + nutrients",1694.01333333333,380.197470971775
"23","Grand","crop + nutrients",1624.79666666667,152.606244411339
"24","Grand","wetland + nutrients",1836.30666666667,122.523875768494
