"","Lake","Treatment","avgMic_ugL","sdMic_ugL"
"1","Maumee","control",0.086,0.006
"2","Maumee","nutrients only",0.0873333333333333,0.0185562208796224
"3","Maumee","manure",0.0846666666666667,0.0127410099024109
"4","Maumee","crop",0.106666666666667,0.0202072594216369
"5","Maumee","wetland",0.104333333333333,0.0351615320106126
"6","Maumee","manure + nutrients",0.0803333333333333,0.00808290376865477
"7","Maumee","crop + nutrients",0.133666666666667,0.0606657509088393
"8","Maumee","wetland + nutrients",0.107666666666667,0.0219393102292058
"9","Sandusky","control",1.75,0.235921597146171
"10","Sandusky","nutrients only",1.96233333333333,0.338895755850281
"11","Sandusky","manure",2.48266666666667,0.141902548720357
"12","Sandusky","crop",1.43366666666667,0.145716619962629
"13","Sandusky","wetland",1.695,0.310328857826661
"14","Sandusky","manure + nutrients",2.28133333333333,0.521959129945375
"15","Sandusky","crop + nutrients",0.360333333333333,0.140873465682269
"16","Sandusky","wetland + nutrients",2.74633333333333,2.00941591845325
"17","Grand","control",34.4643333333333,4.88214198209488
"18","Grand","nutrients only",55.449,13.0002514975673
"19","Grand","manure",60.721,7.67999811197893
"20","Grand","crop",35.215,2.21103120737813
"21","Grand","wetland",40.4533333333333,3.42750001215658
"22","Grand","manure + nutrients",82.6456666666667,12.3587281438396
"23","Grand","crop + nutrients",87.6796666666667,14.3062925432599
"24","Grand","wetland + nutrients",68.8166666666667,15.842298454875
