"","Lake","Treatment","avgDOC_mgL","sdDOC_mgL"
"1","Maumee","control",1.76833333333333,0.0307300070506554
"2","Maumee","nutrients only",1.714,0.0255342906696074
"3","Maumee","manure",3.464,0.0614410286372224
"4","Maumee","crop",2.51633333333333,0.164940393273853
"5","Maumee","wetland",5.54966666666667,0.0308922859842605
"6","Maumee","manure + nutrients",3.218,0.13423486879347
"7","Maumee","crop + nutrients",2.62766666666667,0.0894725283723074
"8","Maumee","wetland + nutrients",5.684,0.170868370390778
"9","Sandusky","control",3.87866666666667,0.12141389267021
"10","Sandusky","nutrients only",4.586,0.214105114371422
"11","Sandusky","manure",4.89633333333333,0.241384202741881
"12","Sandusky","crop",4.58666666666667,0.0894725283723074
"13","Sandusky","wetland",7.492,0.149622859216097
"14","Sandusky","manure + nutrients",4.76633333333333,0.0650410127022431
"15","Sandusky","crop + nutrients",4.70833333333333,0.30534625154623
"16","Sandusky","wetland + nutrients",7.506,0.478933189495153
"17","Grand","control",7.00966666666667,0.138608561544131
"18","Grand","nutrients only",8.02766666666667,0.884591619524701
"19","Grand","manure",7.846,0.0613921819126832
"20","Grand","crop",7.29866666666667,0.0758045733009118
"21","Grand","wetland",10.0343333333333,0.231364070964645
"22","Grand","manure + nutrients",10.1033333333333,0.584411099597991
"23","Grand","crop + nutrients",9.19,0.426253445733873
"24","Grand","wetland + nutrients",11.8466666666667,0.468626005822695
